L,method,method_label,energy,exact_energy,abs_delta_e,elapsed_s,gap_closure,gate_pass,gate_reason
2,exact,Exact (Sector),-0.8360571181551808,-0.8360571181551808,0.0,0.0,,True,reference_only
2,hf,Hartree-Fock Ref,4.5,-0.8360571181551808,5.336057118155181,0.0,0.0,True,reference_only
2,hardcoded_vqe,Hardcoded VQE (UCCSD),-0.8360571008163504,-0.8360571181551808,1.733883037147166e-08,0.28124016616493464,0.9999999967506287,False,abs_delta_e_above_threshold
2,qiskit_vqe,Qiskit VQE (UCCSD),-0.8360571175951912,-0.8360571181551808,5.599896102381763e-10,4.216906958259642,0.9999999998950554,True,ok
2,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),-0.02082126306425465,-0.8360571181551808,0.8152358550909261,5.6876632501371205,0.8472213027260893,False,failed_fixed_uccsd_gate
2,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),-0.5079365079354446,-0.8360571181551808,0.32812061021973615,7.571294957771897,0.938508789738522,False,failed_adaptive_uccsd_gate
2,adapt_cse_adapt,ADAPT-CSE (Adaptive),-0.5063129706939993,-0.8360571181551808,0.3297441474611815,5.766796791926026,0.93820453189317,True,ok
3,exact,Exact (Sector),-1.2360679774997887,-1.2360679774997887,0.0,0.0,,True,reference_only
3,hf,Hartree-Fock Ref,4.0,-1.2360679774997887,5.236067977499789,0.0,0.0,True,reference_only
3,hardcoded_vqe,Hardcoded VQE (UCCSD),-1.2360679739525189,-1.2360679774997887,3.547269811221554e-09,6.704199499916285,0.9999999993225317,True,ok
3,qiskit_vqe,Qiskit VQE (UCCSD),-1.2360679395459395,-1.2360679774997887,3.7953849174598986e-08,86.10357366735116,0.9999999927514599,True,ok
3,adapt_uccsd_fixed,ADAPT-UCCSD (Fixed Sequence),4.0,-1.2360679774997887,5.236067977499789,6.438158874865621,0.0,False,failed_fixed_uccsd_gate
3,adapt_uccsd_adapt,ADAPT-UCCSD (Adaptive),3.0,-1.2360679774997887,4.236067977499789,2.6094773751683533,0.1909830056250526,False,failed_adaptive_uccsd_gate
3,adapt_cse_adapt,ADAPT-CSE (Adaptive),2.999999999999999,-1.2360679774997887,4.236067977499788,3.317068791948259,0.19098300562505277,False,failed_cse_relative_improvement_gate
