group,name,energy,abs_delta_e,VarH,depth,stop_reason,t_total_s
l4,baseline,3.7639320225002164,5.717077331184768,2.8944272251110394,2,budget:max_time_s,29.13048862479627
l4,hardcoded_vqe,-1.953144573173683,7.355108693207768e-07,,52,,225.51101454207674
l4_frozen_reopt,A_current_budget,4.000000000000941,5.953145308685492,6.000001120310323,2,fixed_sequence_complete,4.524023124948144
l4_frozen_reopt,B_unbounded_lbfgs,4.000000000000941,5.953145308685492,6.000001120310323,2,fixed_sequence_complete,4.319189166184515
l4_frozen_reopt,C_multistart_slsqp,3.763932034664465,5.717077343349017,2.894380592832892,2,fixed_sequence_complete,3.2940163747407496
l4_budget_ladder,max_time_s=5.0,8.0,9.953145308684553,,1,budget:max_time_s,7.14924554200843
l4_budget_ladder,max_time_s=10.0,3.7639320225002164,5.717077331184768,2.8944272251110394,2,budget:max_time_s,29.066326749976724
l4_prefix_current,1,3.7639320225002164,5.717077331184768,2.8944272251110394,1,fixed_sequence_complete,1.206963624805212
l4_prefix_reference,1,3.7639320225002164,5.717077331184768,2.8944272251110394,1,fixed_sequence_complete,1.2162869172170758
l4_prefix_current,2,4.000000000000941,5.953145308685492,6.000001120310323,2,fixed_sequence_complete,4.013507041614503
l4_prefix_reference,2,4.000000000000941,5.953145308685492,6.000001120310323,2,fixed_sequence_complete,3.9754183748736978
l3_control,baseline,-0.9759875662818931,0.2600804112178956,0.40353782018141016,6,,61.26200154237449
l3_control,fixed_sequence_current_budget,-0.9759875646144174,0.2600804128853713,0.4034958886831099,6,fixed_sequence_complete,42.930502915754914
l3_control,fixed_sequence_generous,-0.9759875664136487,0.26008041108614,0.40354273385049855,6,fixed_sequence_complete,71.90487633273005
